claim,verdict,source,category,explanation
"COVID-19 vaccines contain microchips developed by Bill Gates for surveillance.",False,Reuters Fact Check,Health & Medicine,"Independent laboratory tests and FDA reviews confirm vaccines contain mRNA and lipids, not electronic microchips."
"Water boils at 100 degrees Celsius at standard atmospheric pressure.",True,NIST,Physics & Chemistry,"Under 1 atm standard pressure, the boiling point of pure water is 100 degrees Celsius."
"5G cell phone networks transmit and generate biological coronavirus infections.",False,World Health Organization,Technology & Health,"Viruses cannot travel on radio waves or electromagnetic frequencies."
"The United Nations was established in 1945 following World War II.",True,United Nations,History & Politics,"The UN Charter was officially ratified on 24 October 1945."
"The Great Wall of China is visible from the Moon with the naked human eye.",False,NASA,Science & Space,"Astronauts have confirmed it cannot be seen without high-powered optical lenses."
"Global average temperatures have risen significantly due to human emissions.",True,IPCC,Environmental Science,"Evidence shows unequivocal warming of atmosphere and oceans since the pre-industrial period."
"Drinking industrial bleach or chlorine dioxide cures viral infections.",False,FDA,Health & Safety,"Chlorine dioxide is toxic and causes respiratory and acute organ failure if ingested."
"When Obama was sworn into office he used the Quran instead of the Bible.",False,PolitiFact (LIAR),Politics,"Barack Obama was sworn in using Abraham Lincoln's historic Bible in 2009 and 2013."
"We have fewer Americans working now than in the 1970s.",False,PolitiFact (LIAR),Economics,"Bureau of Labor Statistics records confirm over 150 million Americans working compared to ~80 million in 1970."
"Nearly half of all children in Oregon are living below the federal poverty line.",False,PolitiFact (LIAR),Social & Welfare,"Census Bureau data showed childhood poverty in Oregon was approximately 21%, not 50%."
"Social Security is running completely broke and cannot pay any benefits next year.",False,PolitiFact (LIAR),Economics,"Trust fund reserves will continue paying benefits; changes would only affect partial reserves decades later."
"NASA Mars Perseverance rover successfully deployed the Ingenuity helicopter.",True,NASA JPL,Space Exploration,"The Ingenuity helicopter achieved the first powered controlled flight on another planet."
"The Earth is flat and surrounded by a guarded Antarctic military ice wall.",False,European Space Agency,Astronomy,"Orbital satellite telemetry and geodesic measurements confirm Earth is an oblate spheroid."
"The US national debt exceeds thirty trillion dollars as of recent fiscal records.",True,US Treasury Department,Economy,"Treasury statements confirm total public debt exceeded $31 trillion in recent fiscal years."
"Electric vehicle batteries cannot operate in freezing winter temperatures.",False,Consumer Reports,Technology,"While battery range decreases in cold weather, EVs remain operational with thermal management systems."
