claim_id,claim_text,verdict,category,source,explanation,confidence
FC001,"Drinking lemon water with baking soda cures cancer in 48 hours",FALSE,Health,WHO / Mayo Clinic,"No scientific evidence supports that alkaline foods or lemon soda cure cancer cells in humans.",0.98
FC002,"The Earth is flat and NASA uses CGI to fake satellite imagery",FALSE,Science,NASA / Scientific American,"Extensive orbital photography, satellite telemetry, and physical gravity measurements prove Earth is an oblate spheroid.",0.99
FC003,"Vaccines contain microchips designed to track human movement via 5G networks",FALSE,Technology & Health,Reuters Fact Check / CDC,"Vaccines contain biological antigens, lipids, and stabilizers. Microscopic tracking chips do not exist in liquid injectables.",0.99
FC004,"Drinking adequate water daily helps maintain cognitive function and kidney health",TRUE,Health,Harvard Health Publishing,"Adequate hydration is scientifically established to maintain renal filtration and cognitive focus.",0.95
FC005,"Artificial Intelligence models can produce hallucinations and fabricate citations",TRUE,Technology,Stanford HAI / ACM,"Large language models generate probabilistic token sequences and can fabricate plausible-sounding falsehoods.",0.97
FC006,"5G cellular towers directly cause viral respiratory outbreaks and illnesses",FALSE,Technology & Health,FCC / IEEE,"5G uses non-ionizing electromagnetic radiation in standard radio frequencies, biologically incapable of generating biological viruses.",0.98
FC007,"Eating dark chocolate every day guarantees a 50-year increase in human lifespan",FALSE,Health,The Lancet,"While dark chocolate contains flavonoids with mild antioxidant properties, there is no evidence of dramatic lifespan extension.",0.93
FC008,"Renewable energy sources like solar and wind have lower lifecycle carbon emissions than coal",TRUE,Environment,IPCC / NREL,"Lifecycle carbon emissions of solar and wind are 10 to 50 times lower per kilowatt-hour than fossil coal combustion.",0.96
FC009,"Microwave ovens destroy all nutritional value and make food dangerously radioactive",FALSE,Science & Food,FDA / World Health Organization,"Microwaves use non-ionizing radio frequency radiation to vibrate water molecules, causing heat without inducing radioactivity.",0.97
FC010,"The James Webb Space Telescope detected atmospheric water vapor on exoplanets",TRUE,Space & Science,NASA / ESA,"JWST transmission spectroscopy has repeatedly confirmed atmospheric water vapor on exoplanets such as WASP-96 b.",0.98
FC011,"Holding your breath for 10 seconds without coughing proves you are free from respiratory infections",FALSE,Health,WHO,"Being able to hold your breath does not diagnose or rule out viral or bacterial lung infections.",0.96
FC012,"Electric vehicles produce zero direct tailpipe emissions during driving operation",TRUE,Automotive & Climate,EPA / Department of Energy,"Battery electric vehicles generate zero direct tailpipe emissions when driving, though upstream power generation emissions vary.",0.95
